id|data_inversa|dia_semana|horario|uf|br|municipio|causa_acidente|tipo_acidente|classificacao_acidente|fase_dia|condicao_metereologica|pessoas|mortos|feridos_leves|feridos_graves
265520|2020-01-27|segunda-feira|14:55:00|GO|60.0|GOIANIA|Não guardar distância de segurança|Colisão traseira|Com Vítimas Feridas|Pleno dia|Nublado|3|0|2|0
265521|2020-01-27|segunda-feira|17:40:00|PR|116.0|CURITIBA|Falta de Atenção à Condução|Colisão lateral|Sem Vítimas|Pleno dia|Céu Claro|6|0|0|0
265522|2020-01-27|segunda-feira|16:30:00|RR|174.0|BOA VISTA|Desobediência às normas de trânsito pelo condutor|Colisão lateral|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|0
265523|2020-01-27|segunda-feira|17:26:00|SP|116.0|GUARULHOS|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Anoitecer|Sol|5|0|3|0
265524|2020-01-27|segunda-feira|17:40:00|RJ|116.0|RESENDE|Defeito Mecânico no Veículo|Colisão traseira|Sem Vítimas|Pleno dia|Nublado|3|0|0|0
265525|2020-01-27|segunda-feira|15:20:00|RO|364.0|JARU|Não guardar distância de segurança|Colisão traseira|Com Vítimas Feridas|Pleno dia|Céu Claro|3|0|1|0
265526|2020-01-27|segunda-feira|18:05:00|SC|101.0|ITAJAI|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|0
265527|2020-01-26|domingo|16:10:00|RJ|393.0|VASSOURAS|Desobediência às normas de trânsito pelo condutor|Colisão lateral|Sem Vítimas|Pleno dia|Céu Claro|4|0|0|0
265528|2020-01-27|segunda-feira|16:35:00|AC|364.0|RIO BRANCO|Falta de Atenção à Condução|Colisão traseira|Sem Vítimas|Pleno dia|Céu Claro|2|0|0|0
265529|2020-01-27|segunda-feira|18:00:00|PR|272.0|TERRA ROXA|Falta de Atenção à Condução|Tombamento|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|0
265530|2020-01-27|segunda-feira|18:20:00|SP|153.0|SAO JOSE DO RIO PRETO|Defeito Mecânico no Veículo|Tombamento|Com Vítimas Feridas|Anoitecer|Céu Claro|2|0|2|0
265531|2020-01-27|segunda-feira|18:15:00|PR|376.0|JANDAIA DO SUL|Desobediência às normas de trânsito pelo condutor|Colisão transversal|Com Vítimas Feridas|Anoitecer|Céu Claro|2|0|1|0
265532|2020-01-27|segunda-feira|19:00:00|RN|304.0|MACAIBA|Animais na Pista|Atropelamento de Animal|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
265533|2020-01-27|segunda-feira|19:00:00|CE|116.0|EUSEBIO|Desobediência às normas de trânsito pelo condutor|Colisão transversal|Com Vítimas Feridas|Plena Noite|Céu Claro|2|0|1|0
265534|2020-01-27|segunda-feira|18:30:00|MG|50.0|UBERLANDIA|Defeito na Via|Tombamento|Com Vítimas Feridas|Plena Noite|Céu Claro|1|0|1|0
265535|2020-01-27|segunda-feira|19:15:00|RS|116.0|CAXIAS DO SUL|Pista Escorregadia|Tombamento|Com Vítimas Feridas|Anoitecer|Céu Claro|1|0|1|0
265536|2020-01-27|segunda-feira|19:05:00|GO|452.0|ITUMBIARA|Desobediência às normas de trânsito pelo pedestre|Atropelamento de Pedestre|Com Vítimas Fatais|Anoitecer|Nublado|2|1|0|0
265538|2020-01-27|segunda-feira|15:20:00|SC|470.0|POUSO REDONDO|Velocidade Incompatível|Colisão lateral|Com Vítimas Feridas|Pleno dia|Sol|2|0|1|1
265539|2020-01-27|segunda-feira|18:30:00|PE|101.0|JABOATAO DOS GUARARAPES|Velocidade Incompatível|Colisão com objeto estático|Com Vítimas Fatais|Plena Noite|Nublado|1|1|0|0
265540|2020-01-27|segunda-feira|19:55:00|RN|101.0|PARNAMIRIM|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Plena Noite|Céu Claro|4|0|2|0
265541|2020-01-27|segunda-feira|20:20:00|PR|376.0|ORTIGUEIRA|Falta de Atenção à Condução|Tombamento|Com Vítimas Feridas|Plena Noite|Céu Claro|2|0|2|0
265542|2020-01-27|segunda-feira|17:00:00|RS|153.0|BAGE|Mal Súbito|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
265543|2020-01-27|segunda-feira|20:00:00|PA|10.0|ULIANOPOLIS|Deficiência ou não Acionamento do Sistema de Iluminação/Sinalização do Veículo|Colisão traseira|Com Vítimas Feridas|Plena Noite|Nublado|4|0|1|0
265545|2020-01-18|sábado|14:25:00|MS|463.0|PONTA PORA|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|2|0
265546|2020-01-27|segunda-feira|19:20:00|RO|364.0|JI-PARANA|Ultrapassagem Indevida|Colisão lateral|Com Vítimas Feridas|Plena Noite|Nublado|6|0|1|0
265547|2020-01-27|segunda-feira|20:40:00|RJ|101.0|ITAGUAI|Desobediência às normas de trânsito pelo condutor|Colisão transversal|Com Vítimas Feridas|Plena Noite|Céu Claro|2|0|1|0
265548|2020-01-27|segunda-feira|21:00:00|BA|116.0|FEIRA DE SANTANA|Pista Escorregadia|Tombamento|Com Vítimas Feridas|Plena Noite|Céu Claro|2|0|2|0
265549|2020-01-27|segunda-feira|20:00:00|ES|101.0|CARIACICA|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Plena Noite|Chuva|2|0|1|0
265550|2020-01-27|segunda-feira|18:20:00|PR|373.0|PONTA GROSSA|Falta de Atenção à Condução|Colisão com objeto estático|Sem Vítimas|Anoitecer|Céu Claro|1|0|0|0
265551|2020-01-27|segunda-feira|20:50:00|SC|280.0|JARAGUA DO SUL|Deficiência ou não Acionamento do Sistema de Iluminação/Sinalização do Veículo|Colisão transversal|Com Vítimas Feridas|Plena Noite|Nublado|2|0|0|1
265553|2020-01-27|segunda-feira|20:55:00|ES|101.0|CARIACICA|Defeito Mecânico no Veículo|Tombamento|Com Vítimas Feridas|Plena Noite|Chuva|2|0|2|0
265554|2020-01-27|segunda-feira|21:15:00|PR|277.0|PALMEIRA|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Plena Noite|Céu Claro|2|0|1|0
